%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1554932295800436294,59696,1554932295800436294,world,-0.845031738281,-0.839463949203,0.945678949356,0.048572152853,-0.0266151633114,-0.959560751915,-0.275999188423
1554932295800493236,59697,1554932295800493236,world,-0.845023870468,-0.839461565018,0.945688247681,0.0486070998013,-0.0266227219254,-0.959542036057,-0.27605766058
1554932295810874230,59698,1554932295810874230,world,-0.845018625259,-0.839462280273,0.945684194565,0.0486695840955,-0.0266309194267,-0.959554553032,-0.276002198458
1554932295830727733,59699,1554932295830727733,world,-0.845014095306,-0.839452505112,0.94568157196,0.0487254038453,-0.0265318863094,-0.959531188011,-0.276083081961
1554932295830812798,59700,1554932295830812798,world,-0.844977855682,-0.839487075806,0.945687055588,0.0485625341535,-0.0264235306531,-0.959533452988,-0.276113986969
1554932295830844271,59701,1554932295830844271,world,-0.844979524612,-0.839478492737,0.945672035217,0.0486179888248,-0.0265603065491,-0.959536910057,-0.276079058647
1554932295850520177,59702,1554932295850520177,world,-0.844979524612,-0.839473009109,0.945677757263,0.0486148074269,-0.0265356544405,-0.959535360336,-0.276087760925
1554932295861016376,59703,1554932295861016376,world,-0.84499669075,-0.839472055435,0.945677042007,0.0486517064273,-0.0266909804195,-0.959551692009,-0.276009231806
1554932295870497674,59704,1554932295870497674,world,-0.844997644424,-0.839486837387,0.945672512054,0.0486496463418,-0.0265547651798,-0.959520339966,-0.276131808758
1554932295870572193,59706,1554932295870572193,world,-0.844750881195,-0.839733123779,0.945830345154,0.0499427989125,-0.0261472482234,-0.958874702454,-0.278175413609
1554932295890204410,59707,1554932295890204410,world,-0.844928264618,-0.839567184448,0.945734977722,0.0490100122988,-0.0264142360538,-0.959312260151,-0.276803731918
1554932295890257150,59708,1554932295890257150,world,-0.845036745071,-0.839482784271,0.945684671402,0.0485670864582,-0.0265607759356,-0.959523320198,-0.27613556385
1554932295910899790,59709,1554932295910899790,world,-0.845016002655,-0.839462757111,0.945544242859,0.0499370768666,-0.0264772940427,-0.959556043148,-0.275785326958
1554932295930505840,59710,1554932295930505840,world,-0.845054626465,-0.839450597763,0.945603609085,0.0490139201283,-0.0266510937363,-0.959618270397,-0.275717496872
1554932295930556640,59711,1554932295930556640,world,-0.845069646835,-0.839436292648,0.945641517639,0.0484369397163,-0.0266773067415,-0.959636390209,-0.275753736496
1554932295930607614,59712,1554932295930607614,world,-0.845057010651,-0.839438438416,0.9456615448,0.0483120940626,-0.0266401860863,-0.959609568119,-0.275872707367
1554932295940903436,59713,1554932295940903436,world,-0.845050811768,-0.83944272995,0.945661306381,0.0482276529074,-0.0266357026994,-0.959608256817,-0.275892436504
1554932295980706787,59714,1554932295980706787,world,-0.844969987869,-0.839474439621,0.945546865463,0.0499332286417,-0.0265142470598,-0.959533631802,-0.275860726833
1554932295980777894,59715,1554932295980777894,world,-0.844983577728,-0.839467525482,0.945634365082,0.0490004234016,-0.0264895744622,-0.959516525269,-0.276089340448
1554932295980835132,59717,1554932295980835132,world,-0.844980478287,-0.839480876923,0.945694446564,0.0483837984502,-0.0264549143612,-0.959540367126,-0.276118606329
1554932295990311599,59718,1554932295990311599,world,-0.84500837326,-0.839470863342,0.945689201355,0.0483578667045,-0.0264999289066,-0.959551751614,-0.276079297066
1554932295990353291,59719,1554932295990353291,world,-0.845014095306,-0.839480876923,0.945683479309,0.0483822152019,-0.0265904385597,-0.959553420544,-0.276060640812
1554932295990415642,59720,1554932295990415642,world,-0.845000267029,-0.839506387711,0.945704698563,0.0483566895127,-0.0263436604291,-0.959515571594,-0.276220202446
1554932296000703614,59721,1554932296000703614,world,-0.845005989075,-0.839490413666,0.945706605911,0.048392098397,-0.0263004954904,-0.959509253502,-0.276239722967
1554932296010036528,59722,1554932296010036528,world,-0.845011949539,-0.839490413666,0.945700407028,0.0484173856676,-0.0263490881771,-0.959514498711,-0.276212543249
1554932296020499678,59723,1554932296020499678,world,-0.845020532608,-0.839504957199,0.945693969727,0.0485278479755,-0.0264056380838,-0.959526896477,-0.276144653559
1554932296030863333,59724,1554932296030863333,world,-0.845027446747,-0.8394947052,0.945678949356,0.048640165478,-0.0265728402883,-0.959530591965,-0.276095926762
