%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1555359062977082606,22583,1555359062977082606,world,-2.90661907196,-0.818180799484,0.797135353088,-0.719915866852,0.0920917913318,-0.258015453815,0.63770544529
1555359062977123792,22584,1555359062977123792,world,-2.90637874603,-0.818094730377,0.79706120491,-0.719787597656,0.0923377200961,-0.259256392717,0.637311339378
1555359063007077349,22585,1555359063007077349,world,-2.90643978119,-0.818082809448,0.797098398209,-0.719718933105,0.091315947473,-0.259665429592,0.637369513512
1555359063007116228,22586,1555359063007116228,world,-2.90646743774,-0.818067073822,0.797188043594,-0.719711840153,0.0907715931535,-0.259418457747,0.637555837631
1555359063007158830,22587,1555359063007158830,world,-2.90633010864,-0.818106412888,0.797106742859,-0.719861447811,0.0922604426742,-0.259770214558,0.637029647827
1555359063037229511,22588,1555359063037229511,world,-2.9062795639,-0.818081617355,0.797034025192,-0.719864070415,0.092618457973,-0.259434193373,0.637111961842
1555359063037276489,22589,1555359063037276489,world,-2.90651416779,-0.818194150925,0.797088623047,-0.72008484602,0.0932743996382,-0.257863998413,0.637404024601
1555359063037342849,22590,1555359063037342849,world,-2.90657138824,-0.818197488785,0.797103881836,-0.720210194588,0.0933400243521,-0.257416754961,0.637433588505
1555359063037388211,22591,1555359063037388211,world,-2.9063873291,-0.818103313446,0.797078371048,-0.719957232475,0.0927313715219,-0.258750200272,0.63726824522
1555359063046762047,22592,1555359063046762047,world,-2.90643787384,-0.818080663681,0.797129392624,-0.719774127007,0.0912858322263,-0.25939065218,0.637423455715
1555359063057089007,22593,1555359063057089007,world,-2.90645313263,-0.818096399307,0.797107934952,-0.719730854034,0.0909151732922,-0.259583622217,0.637446761131
1555359063067487960,22594,1555359063067487960,world,-2.90635681152,-0.818065643311,0.797044992447,-0.719760358334,0.0920265242457,-0.259572446346,0.637258529663
1555359063067532533,22595,1555359063067532533,world,-2.90627861023,-0.818079948425,0.796985626221,-0.719839632511,0.0927361622453,-0.259519428015,0.637087702751
